event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue,landslide
NEG_18481,,,,,26.332445036859973,88.24128207616477,True,,False,2025-05-30,day,,,,70.0,3.0221599715334833,274.3987053549955,-0.003148096204560773,1.5,True,,0
NEG_18482,,,,,27.6645347605045,88.86421583667708,True,,False,2024-07-01,day,,,,4904.0,21.527409586416418,121.56897112931833,-0.00839492321216206,9.375,True,,0
NEG_18483,,,,,26.60578201261025,91.76608844025982,True,,False,2015-09-06,day,,,,76.0,1.994969777336083,324.4623222080256,-0.0010493654015202576,0.75,True,,0
NEG_18484,,,,,27.100772171561747,88.23956952901366,True,,False,2010-06-28,day,,,,575.0,13.615445199285897,321.7889745744388,-0.007345557810641803,7.25,True,,0
NEG_18485,,,,,25.540761744614557,94.40858680890484,True,,False,2024-07-15,day,,,,1116.0,30.515572670827545,102.69958448959737,-0.00419746160608103,14.25,True,,0
NEG_18486,,,,,26.005187796481273,91.02601772000507,True,,False,2025-06-01,day,,,,43.0,3.2280260705093418,21.037511025421807,0.002098730803040515,1.375,True,,0
NEG_18487,,,,,26.89806569703519,91.14199912637395,True,,False,2008-06-19,day,,,,774.0,18.5780736846608,111.92958775017536,0.028332865841046957,10.25,True,,0
NEG_18488,,,,,26.42773014254874,91.38190408734039,True,,False,2024-05-28,day,,,,49.0,3.0221599715334833,302.4711922908485,0.003148096204560773,1.25,True,,0
NEG_18489,,,,,27.394327091058038,88.23461991045868,True,,False,2023-07-06,day,,,,2549.0,29.797559454134504,261.86989764584405,-0.023086038833445666,15.25,True,,0
NEG_18490,,,,,25.728427032893002,94.9454453056485,True,,False,2025-05-31,day,,,,1557.0,23.667431413413127,286.0908163488522,0.0,10.75,True,,0
